Industry,Criterion 1,Criterion 2,Criterion 3,Criterion 4,Criterion 5,Criterion 6,Criterion 7
accomodation,Buildings,Energy efficiency,Renewable energies,Mobility and travel,Carbon Footprint,Sustainable food,Waste prevention
advertising,Lifestyles,Climate communication,CO2 transparency and incentives,Climate neutral operation,Carbon Footprint,Circular solutions,Consumer protection
agri_machinery,Sustainable agricultural products,Ecosystems,Animal Welfare,Pollution to Soil,Transportation,Carbon Footprint,Sharing
agriculture_fishery,Sustainable agricultural products,Plant-based nutrition,Animal Welfare,Pollution to Soil,Renewable energies,Carbon Footprint,Working conditions
architecture,Buildings,Energy efficiency,Renewable energies,Carbon Footprint,Climate resilience,Circular design,Affordability
asset_management,Sustainable finance,Renewable energies,Climate neutral operation,Carbon Footprint,Climate risks,Circular solutions,(Financial) participation
auditing,Climate solutions and consulting,Sustainable finance,Mobility and travel,Renewable energies,Carbon Footprint,Circular solutions,Equal Opportunity
automotive,Transportation,Mobility and travel,Energy storage,Renewable energies,Carbon Footprint,Pollution to Air,Circular design
baked_confectionery,Plant-based nutrition,Sustainable agricultural products,Food waste,Diversity of species,Climate neutral operation,Carbon Footprint,Cooperation
beverage,Water conservation,Circular solutions,Packing,Reuse and recycling,Climate neutral operation,Carbon Footprint,Health
building_material,Industrial processes,Renewable energies,Energy efficiency,Transportation,Carbon Footprint,Circular solutions,Land sealing
building_trade,Buildings,Energy efficiency,Renewable energies,Transportation,Carbon Footprint,Materials,Occupational safety and health
caffeine_spices,Sustainable agricultural products,Ecosystems,Food waste,Pollution to Soil,Climate neutral operation,Carbon Footprint,Cooperation
capital_goods,Climate-friendly products,CO2 transparency and incentives,Transportation,Renewable energies,Carbon Footprint,Circular solutions,Human rights
care,Health,Social impact,Social cohesion,Regional impact,Working conditions,Climate neutral operation,Carbon Footprint
chemical,Energy efficiency,Renewable energies,Industrial processes,CO2 removal,Carbon Footprint,Circular solutions,Hazardous substances
chemical_wholesale,Climate-friendly products,CO2 transparency and incentives,Transportation,Renewable energies,Carbon Footprint,Circular solutions,Hazardous substances
cleaning_supplies,Circular design,Waste prevention,Packing,Water conservation,Energy efficiency,Carbon Footprint,Pollution to Water
commercial,Working conditions,Equal Opportunity,Occupational safety and health,Professional education,Paper and digital,Climate neutral operation,Carbon Footprint
construction,Buildings,Energy efficiency,Renewable energies,Climate neutral operation,Carbon Footprint,Materials,Occupational safety and health
consumer_electronics,Energy efficiency,Smart home,Lifestyles,Climate neutral operation,Carbon Footprint,Circular solutions,Human rights
